@relation yeni

@attribute Tarih {'2020-02-03 14:24:00','2020-02-01 00:00:00','2020-02-02 00:00:00','2020-02-03 00:00:00','2020-02-04 00:00:00','2020-02-05 00:00:00','2020-02-06 00:00:00','2020-02-07 00:00:00','2020-02-08 00:00:00','2020-02-09 00:00:00','2020-02-10 00:00:00','2020-02-11 00:00:00','2020-02-12 00:00:00','2020-02-13 00:00:00','2020-02-14 00:00:00','2020-02-15 00:00:00','2020-02-16 00:00:00','2020-02-17 00:00:00','2020-02-18 00:00:00','2020-02-19 00:00:00','2020-02-20 00:00:00','2020-02-21 00:00:00','2020-02-22 00:00:00','2020-02-23 00:00:00','2020-02-24 00:00:00','2020-02-25 00:00:00','2020-02-26 00:00:00','2020-02-27 00:00:00','2020-02-28 00:00:00','2020-02-29 00:00:00','2020-03-01 00:00:00','2020-03-02 00:00:00','2020-03-03 00:00:00','2020-03-04 00:00:00','2020-03-05 00:00:00','2020-03-06 00:00:00','2020-03-07 00:00:00','2020-03-08 00:00:00','2020-03-09 00:00:00','2020-03-10 00:00:00','2020-03-11 00:00:00','2020-03-12 00:00:00','2020-03-13 00:00:00','2020-03-14 00:00:00','2020-03-15 00:00:00','2020-03-16 00:00:00','2020-03-17 00:00:00','2020-03-18 00:00:00','2020-03-19 00:00:00','2020-03-20 00:00:00','2020-03-21 00:00:00','2020-03-22 00:00:00','2020-03-23 00:00:00','2020-03-24 00:00:00','2020-03-25 00:00:00','2020-03-26 00:00:00','2020-03-27 00:00:00','2020-03-28 00:00:00','2020-03-29 00:00:00','2020-03-30 00:00:00','2020-03-31 00:00:00','2020-04-01 00:00:00','2020-04-02 00:00:00','2020-04-03 00:00:00','2020-04-04 00:00:00','2020-04-05 00:00:00','2020-04-06 00:00:00','2020-04-07 00:00:00','2020-04-08 00:00:00','2020-04-09 00:00:00','2020-04-10 00:00:00','2020-04-11 00:00:00','2020-04-12 00:00:00','2020-04-13 00:00:00','2020-04-14 00:00:00','2020-04-15 00:00:00','2020-04-16 00:00:00','2020-04-17 00:00:00','2020-04-18 00:00:00','2020-04-19 00:00:00','2020-04-20 00:00:00','2020-04-21 00:00:00','2020-04-22 00:00:00','2020-04-23 00:00:00','2020-04-24 00:00:00','2020-04-25 00:00:00','2020-04-26 00:00:00','2020-04-27 00:00:00','2020-04-28 00:00:00','2020-04-29 00:00:00','2020-04-30 00:00:00','2020-05-01 00:00:00'}
@attribute 'Ä°stanbul - Kandilli-MTHM' {'PM10 ( Âµg/mÂ³ )',30.78,50.54,30.5,30.08,11.29,14.79,13.6,20.16,30.98,27.69,23.36,37.7,70.2,40.28,19.16,24.69,40.35,60.4,26.64,18.72,20.41,22.26,30.31,30.95,20.9,25.81,29.16,64.51,40.67,67.64,56.71,25.18,41.17,60.19,56.33,28.95,32.7,43.62,24.18,28.56,13.08,13.94,11.8,19.94,23.56,36.45,45.56,48.49,19.6,13.61,11.54,45.81,125.08,109.05,56.54,26.68,21.67,34.89,17.69,36.92,25.8,31.96,54.66,24.52,25.64,46.46,17.11,15.29,36.44,38.55,44.39,39.44,26.75,17.72,14.87,16.71,21.26,30.82,25.36,28.2,53.04,52.43,25.29}
@attribute att3 {'SO2 ( Âµg/mÂ³ )',13.44,15.08,13.62,17.08,15.18,9.98,7.25,4.37,3.88,10.16,14.24,9.34,9.59,13.01,12.28,5.75,6.53,9.88,11.02,10.05,8.85,7.91,6.31,12.69,6.76,13.57,12.44,9.45,9.04,7.22,14.58,14.27,19.47,18.31,12.67,14.5,15.02,14.33,11.13,12.15,15.31,11.64,10.22,8.94,5.69,5.15,7.18,7.67,8.34,10.59,12.93,7.83,6.74,8.9,10.74,10.62,13.1,11.84,10.36,11.43,10.58,11.83,11.28,8.62,9.38,9.2,13.75,15.41,11.76,15.74,7.06,14.78,18.91,18.81,12.02,8.38,7.65,7.33,8.39,10.15,8.55,7.7,11.33,14.02,11.87}
@attribute att4 {'CO ( Âµg/mÂ³ )',787.62,1267.62,733.72,800.25,839.98,595.1,587.91,556.1,687.7,1019.22,597.2,656.34,1216.43,1974.41,1009.97,514.39,780.53,1074.14,1490.85,697.14,593.8,586.28,775.17,795.55,966.58,908.44,663.85,809.48,914.46,1065.58,1811.84,983.43,1553.36,1284.57,839.47,1192.67,1430.48,1217.25,811.92,1137.85,1374.35,752.32,954.24,632.71,592.29,645.56,868.29,693.99,1047.85,1310.87,1522.12,767.5,774.09,732.43,748.87,713.22,753.38,870.17,904.72,1231.61,629.43,659.2,743.25,1095.03,659.47,630.87,618.65,620.21,940.16,1385.03,688.51,874.94,1227.27,747.92,738.97,984.67,1038.8,1075.74,938.62,683.82,603.76,664.55,600.25,978.39,731.82,688.65,928.65,987.86,752.1}
@attribute att5 {'NO2 ( Âµg/mÂ³ )',36.5,49.06,41.26,42,41.77,12.64,13.43,9.67,26.47,40.64,29.81,32.38,47.1,56.73,32.01,11.2,29.12,39.79,35.87,19.98,13.56,11.1,30.17,31.85,35.88,47.38,19.71,32.59,23.94,38.28,48.44,55.58,62.95,53.8,34.87,50.9,48.77,35.54,22.81,39.39,48.61,30.08,24.58,6.89,7.39,10.43,25.87,14.8,36.67,44.14,29.6,9.42,7.15,7.13,6.59,10.42,18.12,22.15,28.62,22.07,8.14,7.46,27.58,22.69,7.33,11.08,6.62,10.48,35.94,32.45,8.8,34.88,43.12,10.47,15.29,42.13,41.3,36.04,23.4,8.42,6.69,5.43,3.5,27.12,21.86,21.26,40.12,42.69,29.32}

@data
'2020-02-03 14:24:00','PM10 ( Âµg/mÂ³ )','SO2 ( Âµg/mÂ³ )','CO ( Âµg/mÂ³ )','NO2 ( Âµg/mÂ³ )'
'2020-02-01 00:00:00',30.78,13.44,787.62,36.5
'2020-02-02 00:00:00',50.54,15.08,1267.62,49.06
'2020-02-03 00:00:00','PM10 ( Âµg/mÂ³ )',13.62,733.72,41.26
'2020-02-04 00:00:00',30.5,17.08,800.25,42
'2020-02-05 00:00:00',30.08,15.18,839.98,41.77
'2020-02-06 00:00:00',11.29,9.98,595.1,12.64
'2020-02-07 00:00:00',14.79,7.25,587.91,13.43
'2020-02-08 00:00:00',13.6,4.37,556.1,9.67
'2020-02-09 00:00:00',20.16,3.88,687.7,26.47
'2020-02-10 00:00:00',30.98,10.16,1019.22,40.64
'2020-02-11 00:00:00',27.69,14.24,597.2,29.81
'2020-02-12 00:00:00',23.36,9.34,656.34,32.38
'2020-02-13 00:00:00',37.7,9.59,1216.43,47.1
'2020-02-14 00:00:00',70.2,13.01,1974.41,56.73
'2020-02-15 00:00:00',40.28,12.28,1009.97,32.01
'2020-02-16 00:00:00',19.16,5.75,514.39,11.2
'2020-02-17 00:00:00',24.69,6.53,780.53,29.12
'2020-02-18 00:00:00',40.35,9.88,1074.14,39.79
'2020-02-19 00:00:00',60.4,11.02,1490.85,35.87
'2020-02-20 00:00:00',26.64,10.05,697.14,19.98
'2020-02-21 00:00:00',18.72,8.85,593.8,13.56
'2020-02-22 00:00:00',20.41,7.91,586.28,11.1
'2020-02-23 00:00:00',22.26,6.31,775.17,30.17
'2020-02-24 00:00:00',30.31,12.69,795.55,31.85
'2020-02-25 00:00:00',30.95,6.76,966.58,35.88
'2020-02-26 00:00:00',30.95,13.57,908.44,47.38
'2020-02-27 00:00:00',20.9,12.44,663.85,19.71
'2020-02-28 00:00:00',20.9,9.45,809.48,32.59
'2020-02-29 00:00:00',25.81,9.04,914.46,23.94
'2020-03-01 00:00:00',29.16,7.22,1065.58,38.28
'2020-03-02 00:00:00',64.51,14.58,1811.84,48.44
'2020-03-03 00:00:00',40.67,14.27,983.43,55.58
'2020-03-04 00:00:00',67.64,19.47,1553.36,62.95
'2020-03-05 00:00:00',56.71,18.31,1284.57,53.8
'2020-03-06 00:00:00',25.18,12.67,839.47,34.87
'2020-03-07 00:00:00',41.17,14.5,1192.67,50.9
'2020-03-08 00:00:00',60.19,15.02,1430.48,48.77
'2020-03-09 00:00:00',56.33,14.33,1217.25,35.54
'2020-03-10 00:00:00',28.95,11.13,811.92,22.81
'2020-03-11 00:00:00',32.7,12.15,1137.85,39.39
'2020-03-12 00:00:00',43.62,15.31,1374.35,48.61
'2020-03-13 00:00:00',24.18,11.64,752.32,30.08
'2020-03-14 00:00:00',28.56,10.22,954.24,24.58
'2020-03-15 00:00:00',13.08,8.94,632.71,6.89
'2020-03-16 00:00:00',13.94,5.69,592.29,7.39
'2020-03-17 00:00:00',11.8,5.15,645.56,10.43
'2020-03-18 00:00:00',19.94,7.18,868.29,25.87
'2020-03-19 00:00:00',23.56,7.67,693.99,14.8
'2020-03-20 00:00:00',36.45,8.34,1047.85,36.67
'2020-03-21 00:00:00',45.56,10.59,1310.87,44.14
'2020-03-22 00:00:00',48.49,12.93,1522.12,29.6
'2020-03-23 00:00:00',19.6,7.22,767.5,9.42
'2020-03-24 00:00:00',13.61,7.83,774.09,7.15
'2020-03-25 00:00:00',11.54,6.74,732.43,7.13
'2020-03-26 00:00:00',45.81,7.25,748.87,6.59
'2020-03-27 00:00:00',125.08,8.9,713.22,10.42
'2020-03-28 00:00:00',109.05,10.74,753.38,18.12
'2020-03-29 00:00:00',109.05,10.62,870.17,22.15
'2020-03-30 00:00:00',56.54,13.1,904.72,28.62
'2020-03-31 00:00:00',56.54,11.84,1231.61,22.07
'2020-04-01 00:00:00',20.16,10.36,629.43,8.14
'2020-04-02 00:00:00',26.68,11.43,659.2,7.46
'2020-04-03 00:00:00',21.67,10.58,743.25,27.58
'2020-04-04 00:00:00',34.89,11.83,1095.03,22.69
'2020-04-05 00:00:00',17.69,11.28,659.47,7.33
'2020-04-06 00:00:00',36.92,8.62,630.87,11.08
'2020-04-07 00:00:00',25.8,8.62,630.87,11.08
'2020-04-08 00:00:00',36.92,9.38,618.65,6.62
'2020-04-09 00:00:00',31.96,9.2,620.21,10.48
'2020-04-10 00:00:00',31.96,13.75,940.16,35.94
'2020-04-11 00:00:00',54.66,15.41,1385.03,32.45
'2020-04-12 00:00:00',24.52,11.76,688.51,8.8
'2020-04-13 00:00:00',25.64,13.01,874.94,34.88
'2020-04-14 00:00:00',46.46,15.74,1227.27,43.12
'2020-04-15 00:00:00',17.11,8.34,747.92,10.47
'2020-04-16 00:00:00',15.29,7.06,738.97,15.29
'2020-04-17 00:00:00',36.44,14.78,984.67,42.13
'2020-04-18 00:00:00',38.55,18.91,1038.8,41.3
'2020-04-19 00:00:00',44.39,18.81,1075.74,36.04
'2020-04-20 00:00:00',39.44,12.02,938.62,23.4
'2020-04-21 00:00:00',26.75,8.38,683.82,8.42
'2020-04-22 00:00:00',17.72,7.65,603.76,6.69
'2020-04-23 00:00:00',14.87,7.33,664.55,5.43
'2020-04-24 00:00:00',16.71,8.39,600.25,3.5
'2020-04-25 00:00:00',21.26,8.39,600.25,3.5
'2020-04-26 00:00:00',30.82,10.15,978.39,27.12
'2020-04-27 00:00:00',25.36,8.55,731.82,21.86
'2020-04-28 00:00:00',28.2,7.7,688.65,21.26
'2020-04-29 00:00:00',53.04,11.33,928.65,40.12
'2020-04-30 00:00:00',52.43,14.02,987.86,42.69
'2020-05-01 00:00:00',25.29,11.87,752.1,29.32
